epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8201,2.23325,3.56471,1.75685,0.009,0.93103,0.03157,0.01351,1.5685,3.3885,1.54147,0.00024,0.00024,0.00024
2,26.0742,1.7888,2.48505,1.38112,0.009,0.93103,0.31227,0.13673,1.76363,3.06978,1.75334,0.0004901,0.0004901,0.0004901
3,37.313,1.71428,1.75732,1.33306,0.7525,0.44828,0.45156,0.1839,2.06517,2.67915,1.97194,0.000729904,0.000729904,0.000729904
4,48.229,1.68201,1.67913,1.30841,0.66242,0.31034,0.43832,0.19656,1.90664,2.55795,1.895,0.000959412,0.000959412,0.000959412
5,59.1701,1.60138,1.51826,1.25045,0.58309,0.34483,0.36168,0.17087,1.84066,2.44758,2.0004,0.00117862,0.00117862,0.00117862
6,70.232,1.51597,1.34378,1.2007,0.43581,0.31034,0.29796,0.11353,2.13663,2.46428,2.2611,0.00138754,0.00138754,0.00138754
7,81.7251,1.53001,1.46201,1.23749,0.27074,0.37931,0.23059,0.06518,2.2633,2.55519,2.61445,0.00158616,0.00158616,0.00158616
8,92.8904,1.53231,1.41694,1.22385,0.2039,0.44828,0.16888,0.06067,2.26723,3.54597,2.9328,0.0017228,0.0017228,0.0017228
9,103.917,1.5052,1.30975,1.17725,0.2039,0.44828,0.16888,0.06067,2.26723,3.54597,2.9328,0.0016832,0.0016832,0.0016832
10,114.701,1.54309,1.42072,1.23821,0.31255,0.44828,0.24038,0.08543,2.32924,2.83614,3.03516,0.0016436,0.0016436,0.0016436
11,126.296,1.44892,1.27328,1.20853,0.14326,0.51724,0.103,0.03612,2.40022,6.28319,2.52698,0.001604,0.001604,0.001604
12,137.364,1.46847,1.24458,1.17349,0.127,0.48276,0.13482,0.04504,2.1329,6.20739,2.06681,0.0015644,0.0015644,0.0015644
13,148.659,1.46062,1.23357,1.18469,0.20662,0.55172,0.19039,0.08295,2.0407,3.25101,2.07091,0.0015248,0.0015248,0.0015248
14,159.983,1.4136,1.17967,1.16054,0.49987,0.41379,0.42373,0.20084,2.26328,2.49688,2.2963,0.0014852,0.0014852,0.0014852
15,171.512,1.41808,1.12568,1.17014,0.49987,0.41379,0.42373,0.20084,2.26328,2.49688,2.2963,0.0014456,0.0014456,0.0014456
16,184.004,1.3934,1.15874,1.15341,0.60925,0.41379,0.45377,0.23636,2.11968,2.53653,2.21229,0.001406,0.001406,0.001406
17,196.072,1.3455,1.14302,1.14375,0.51945,0.48276,0.46799,0.26243,1.86608,2.31927,2.00059,0.0013664,0.0013664,0.0013664
18,208.326,1.35921,1.1491,1.13924,0.56729,0.44828,0.47792,0.24709,1.98594,2.19779,1.99068,0.0013268,0.0013268,0.0013268
19,220.575,1.33117,1.04774,1.10878,0.54753,0.44828,0.43668,0.21812,2.08408,2.2291,1.94528,0.0012872,0.0012872,0.0012872
20,232.598,1.33781,1.08877,1.12586,0.54753,0.44828,0.43668,0.21812,2.08408,2.2291,1.94528,0.0012476,0.0012476,0.0012476
21,244.805,1.3195,1.05939,1.10485,0.50712,0.49699,0.44695,0.21551,2.07514,2.39155,1.99879,0.001208,0.001208,0.001208
22,264.966,1.27086,1.04811,1.10774,0.47216,0.49377,0.43559,0.22794,2.0695,2.35656,1.95655,0.0011684,0.0011684,0.0011684
23,290.872,1.32106,1.04919,1.1099,0.3903,0.4857,0.33757,0.16093,1.98689,2.8193,1.92866,0.0011288,0.0011288,0.0011288
24,310.354,1.28162,0.97284,1.08102,0.32565,0.65517,0.29633,0.12887,1.95065,3.18444,1.94153,0.0010892,0.0010892,0.0010892
25,328.884,1.24971,0.98137,1.09297,0.32565,0.65517,0.29633,0.12887,1.95065,3.18444,1.94153,0.0010496,0.0010496,0.0010496
26,348.347,1.26585,0.91703,1.05454,0.3359,0.65517,0.28814,0.12374,1.94553,4.06314,1.95907,0.00101,0.00101,0.00101
27,370.013,1.266,0.9769,1.12158,0.4452,0.65517,0.40324,0.16491,1.83135,2.9367,1.87131,0.0009704,0.0009704,0.0009704
28,413.131,1.19887,0.92701,1.06484,0.44354,0.55172,0.34254,0.15935,1.86125,2.59341,1.89975,0.0009308,0.0009308,0.0009308
29,436.463,1.1625,0.88604,1.03936,0.62216,0.41379,0.50407,0.26032,1.97849,2.1035,1.88551,0.0008912,0.0008912,0.0008912
30,455.824,1.21753,0.97567,1.08548,0.48828,0.48276,0.49225,0.27136,1.98077,2.05309,1.85844,0.0008516,0.0008516,0.0008516
31,474.853,1.15663,0.86938,1.05296,0.48828,0.48276,0.49225,0.27136,1.98077,2.05309,1.85844,0.000812,0.000812,0.000812
32,494.668,1.20597,0.92879,1.04734,0.52289,0.41379,0.44201,0.24763,1.91637,2.09538,1.84904,0.0007724,0.0007724,0.0007724
33,513.926,1.14844,0.85801,1.03247,0.65899,0.44828,0.52588,0.30349,1.90777,2.03203,1.88737,0.0007328,0.0007328,0.0007328
34,532.73,1.09437,0.87736,1.03733,0.7148,0.48276,0.56111,0.31295,1.87283,1.95965,1.81606,0.0006932,0.0006932,0.0006932
35,551.934,1.13541,0.84468,1.02493,0.69651,0.48276,0.53114,0.29931,1.91792,2.11548,1.90233,0.0006536,0.0006536,0.0006536
36,570.975,1.14655,0.85213,1.02719,0.69651,0.48276,0.53114,0.29931,1.91792,2.11548,1.90233,0.000614,0.000614,0.000614
37,590.238,1.12849,0.88231,1.05042,0.66424,0.51724,0.54106,0.28343,1.91658,2.29827,1.94167,0.0005744,0.0005744,0.0005744
38,609.111,1.061,0.79549,1.00799,0.56435,0.55172,0.50079,0.24653,1.94561,2.39079,1.93852,0.0005348,0.0005348,0.0005348
39,627.925,1.07043,0.813,1.01501,0.36276,0.62069,0.36796,0.14369,1.95954,2.63882,1.94801,0.0004952,0.0004952,0.0004952
40,646.748,1.08662,0.86608,1.06302,0.41082,0.58621,0.44375,0.20898,1.93542,2.75945,1.94188,0.0004556,0.0004556,0.0004556
41,666.396,1.03728,0.8523,1.02688,0.41082,0.58621,0.44375,0.20898,1.93542,2.75945,1.94188,0.000416,0.000416,0.000416
42,685.352,1.02705,0.83837,1.00367,0.43295,0.62069,0.45917,0.22471,1.92216,2.64185,1.99383,0.0003764,0.0003764,0.0003764
43,704.317,1.0224,0.78122,1.00863,0.46235,0.58621,0.47829,0.24145,1.93625,2.49232,2.04644,0.0003368,0.0003368,0.0003368
44,723.899,1.01687,0.78781,1.00487,0.67265,0.62069,0.5841,0.26012,1.99047,2.18648,2.09995,0.0002972,0.0002972,0.0002972
