epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0493,2.03857,3.38014,1.8129,0.00333,1,0.71807,0.26326,0.98162,3.65685,1.69284,0.0003,0.0003,0.0003
2,45.5824,1.7748,2.38955,1.59917,0.00333,1,0.71284,0.20643,1.45675,3.59619,2.37541,0.000607724,0.000607724,0.000607724
3,59.948,1.77192,2.20266,1.47628,0.00333,1,0.28839,0.18199,1.49059,3.78284,2.47864,0.000902776,0.000902776,0.000902776
4,84.8637,1.62174,1.99995,1.38395,0.00333,1,0.0913,0.03169,1.59136,3.68749,2.58399,0.00118516,0.00118516,0.00118516
5,118.832,1.64117,1.80771,1.41204,0.02168,1,0.34158,0.16872,1.69773,3.35059,2.4004,0.00145486,0.00145486,0.00145486
6,150.361,1.64882,1.77517,1.40445,0.44346,0.16667,0.29474,0.0729,2.15094,3.68803,2.73095,0.0017119,0.0017119,0.0017119
7,189.063,1.70555,1.79485,1.4096,0.65439,0.32106,0.34199,0.13712,1.90348,4.22151,2.97384,0.0017624,0.0017624,0.0017624
8,202.14,1.59824,1.65412,1.3475,0.16489,0.5,0.30115,0.18227,1.60569,4.88391,3.35984,0.0017228,0.0017228,0.0017228
9,213.826,1.62748,1.83545,1.46018,0.5878,0.33333,0.42013,0.1933,1.57546,4.26872,2.70665,0.0016832,0.0016832,0.0016832
10,226.757,1.50121,1.64106,1.31735,0.55096,0.66667,0.71087,0.27036,1.75782,6.51104,3.42803,0.0016436,0.0016436,0.0016436
11,258.534,1.4411,1.55943,1.30792,0.52811,0.83333,0.69574,0.27348,1.61076,7.86335,3.22781,0.001604,0.001604,0.001604
12,314.546,1.44079,1.49758,1.28545,0.20888,0.66667,0.52242,0.19317,2.27187,15.1445,4.48773,0.0015644,0.0015644,0.0015644
13,331.766,1.38832,1.35595,1.25964,0.25925,0.5,0.55621,0.23763,1.92822,9.02324,2.75776,0.0015248,0.0015248,0.0015248
14,342.614,1.42835,1.54847,1.32134,1,0.49156,0.57575,0.22468,2.10222,4.36227,2.59504,0.0014852,0.0014852,0.0014852
15,354.472,1.4189,1.42556,1.27464,0.37883,0.33333,0.36277,0.17799,2.0293,3.42017,2.58307,0.0014456,0.0014456,0.0014456
16,367.385,1.38951,1.41736,1.2559,0.4422,0.33333,0.43042,0.23658,1.77312,3.09869,2.62152,0.001406,0.001406,0.001406
17,377.801,1.362,1.34284,1.2527,0.91046,0.33333,0.47875,0.30594,1.60014,3.13154,2.45764,0.0013664,0.0013664,0.0013664
18,387.835,1.35068,1.3307,1.28147,0.4075,0.5,0.4939,0.24699,1.92433,3.17371,2.76714,0.0013268,0.0013268,0.0013268
19,398.005,1.38558,1.5233,1.36634,0.67795,0.33333,0.52312,0.30621,1.47935,3.04645,2.35827,0.0012872,0.0012872,0.0012872
20,407.986,1.31766,1.33284,1.26203,0.40574,0.66667,0.46117,0.2984,1.31324,2.79553,1.98006,0.0012476,0.0012476,0.0012476
21,418.015,1.33444,1.32477,1.2598,0.94834,0.5,0.66507,0.35248,1.66381,3.81584,2.10498,0.001208,0.001208,0.001208
22,427.981,1.27065,1.22278,1.20424,0.78535,0.61785,0.66395,0.23635,2.13202,6.89026,3.16451,0.0011684,0.0011684,0.0011684
23,437.853,1.21198,1.22333,1.20009,0.78552,0.5,0.64309,0.16278,2.4416,5.034,3.56988,0.0011288,0.0011288,0.0011288
24,447.835,1.23297,1.17329,1.18023,0.87554,0.5,0.66078,0.23403,2.33755,3.77217,3.35362,0.0010892,0.0010892,0.0010892
25,457.895,1.18954,1.20235,1.20842,0.72613,0.5,0.73019,0.32455,2.09675,3.19856,3.01715,0.0010496,0.0010496,0.0010496
26,467.868,1.20281,1.23125,1.17702,0.8731,0.66667,0.86643,0.43825,1.70305,3.01127,2.4613,0.00101,0.00101,0.00101
27,477.882,1.22147,1.16064,1.17013,0.65318,0.5,0.75418,0.54493,1.405,2.96419,2.25024,0.0009704,0.0009704,0.0009704
28,487.839,1.14947,1.12673,1.12545,0.55116,1,0.829,0.54013,1.32166,2.90498,2.18734,0.0009308,0.0009308,0.0009308
29,498.243,1.11865,1.14843,1.10244,0.8298,0.83333,0.90885,0.62222,1.16294,3.55187,1.91858,0.0008912,0.0008912,0.0008912
30,509.145,1.19272,1.17296,1.17192,0.88133,0.83333,0.90357,0.57964,1.15831,4.63468,1.80162,0.0008516,0.0008516,0.0008516
31,518.935,1.14865,1.21541,1.17779,0.90307,0.83333,0.90885,0.52056,1.29576,4.65243,1.97225,0.000812,0.000812,0.000812
32,529.106,1.10429,1.10376,1.14913,0.82515,0.83333,0.895,0.5694,1.27328,3.59061,1.97304,0.0007724,0.0007724,0.0007724
33,539.472,1.11327,1.15661,1.12713,0.80473,0.83333,0.88051,0.5347,1.3393,2.80069,2.02608,0.0007328,0.0007328,0.0007328
34,549.786,1.11145,1.05175,1.13373,0.80585,0.83333,0.86561,0.48376,1.30316,2.78116,2.05676,0.0006932,0.0006932,0.0006932
35,559.976,1.0784,1.01256,1.09353,0.80122,0.83333,0.90267,0.47951,1.30606,2.58546,2.01513,0.0006536,0.0006536,0.0006536
36,570.29,1.09381,1.0053,1.10436,1,0.79456,0.955,0.55782,1.31812,2.39564,2.00319,0.000614,0.000614,0.000614
37,580.649,1.07975,1.10736,1.11438,0.84672,1,0.97214,0.50068,1.40968,2.23676,2.02796,0.0005744,0.0005744,0.0005744
38,590.963,1.09211,1.09109,1.15849,0.82521,1,0.94786,0.45678,1.50489,2.3027,2.05416,0.0005348,0.0005348,0.0005348
39,601.182,1.06236,0.96055,1.08955,0.83013,1,0.94786,0.41146,1.48748,2.42004,2.07274,0.0004952,0.0004952,0.0004952
40,611.451,1.02251,0.94532,1.08153,0.85496,0.98472,0.94786,0.41147,1.42074,2.564,2.01267,0.0004556,0.0004556,0.0004556
41,621.649,1.03221,0.97996,1.09491,0.85624,0.9937,0.97214,0.53174,1.18627,2.5426,1.78651,0.000416,0.000416,0.000416
42,631.973,0.98415,0.9225,1.06698,0.84783,1,0.97214,0.63027,1.12488,2.24699,1.66937,0.0003764,0.0003764,0.0003764
43,642.307,1.03843,0.99871,1.07187,0.84406,1,0.97214,0.62943,1.10015,2.21325,1.62559,0.0003368,0.0003368,0.0003368
44,652.66,1.01995,1.02414,1.10039,0.80131,0.83333,0.92667,0.58322,1.0686,2.48683,1.64043,0.0002972,0.0002972,0.0002972
45,662.845,0.97259,0.97647,1.06833,0.7885,0.83333,0.885,0.58268,1.08481,2.26662,1.64556,0.0002576,0.0002576,0.0002576
46,673.195,0.93111,0.87413,1.03207,0.84985,0.83333,0.94167,0.61938,1.04975,2.26074,1.60343,0.000218,0.000218,0.000218
47,683.5,0.92969,0.882,1.03716,0.96202,0.83333,0.955,0.61587,0.99993,2.27138,1.54851,0.0001784,0.0001784,0.0001784
48,693.805,0.91375,0.8972,1.04201,0.95641,0.83333,0.94167,0.63285,0.98965,2.28912,1.55166,0.0001388,0.0001388,0.0001388
49,704.262,0.89874,0.85549,1.01162,0.94789,0.83333,0.955,0.62483,0.97178,2.2384,1.54478,9.92e-05,9.92e-05,9.92e-05
