epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3402,2.27833,3.59391,1.79784,0.009,0.93103,0.01634,0.00714,1.59818,3.35455,1.51147,0.00024,0.00024,0.00024
2,22.0385,1.84503,2.59556,1.43306,0.009,0.93103,0.084,0.03595,2.00645,3.23253,1.79282,0.0004901,0.0004901,0.0004901
3,32.4051,1.81091,1.87438,1.4009,0.66303,0.33955,0.33003,0.13253,2.11547,2.88207,1.9566,0.000729904,0.000729904,0.000729904
4,42.8804,1.70373,1.7242,1.28312,0.68772,0.30418,0.39619,0.18006,1.9663,2.67091,1.84298,0.000959412,0.000959412,0.000959412
5,53.3096,1.71825,1.75513,1.30871,0.70908,0.25285,0.38461,0.18514,2.02096,2.54599,1.95078,0.00117862,0.00117862,0.00117862
6,63.8876,1.61442,1.52844,1.22089,0.44744,0.31034,0.3147,0.1545,2.12542,2.49748,2.17695,0.00138754,0.00138754,0.00138754
7,74.104,1.53084,1.46818,1.20995,0.60972,0.37721,0.3683,0.13265,2.25541,2.38327,2.2198,0.00158616,0.00158616,0.00158616
8,84.598,1.55784,1.41877,1.21296,0.63355,0.44828,0.44931,0.18667,1.95419,2.26405,2.11429,0.0017228,0.0017228,0.0017228
9,95.6537,1.55928,1.42718,1.22199,0.63355,0.44828,0.44931,0.18667,1.95419,2.26405,2.11429,0.0016832,0.0016832,0.0016832
10,105.588,1.47185,1.31017,1.18096,0.62191,0.41379,0.45041,0.18657,2.09116,2.15643,2.09438,0.0016436,0.0016436,0.0016436
11,115.939,1.4877,1.25207,1.18471,0.65685,0.51724,0.49132,0.20629,2.09544,2.16596,2.03318,0.001604,0.001604,0.001604
12,126.726,1.47912,1.20569,1.15219,0.81107,0.41379,0.52855,0.22427,2.09517,2.43279,2.14332,0.0015644,0.0015644,0.0015644
13,138.953,1.44834,1.21137,1.19072,0.64474,0.55172,0.44964,0.20501,2.03218,2.54477,2.08225,0.0015248,0.0015248,0.0015248
14,177.936,1.44465,1.23878,1.16271,0.66418,0.54582,0.46419,0.21768,1.95949,2.92228,2.19502,0.0014852,0.0014852,0.0014852
