epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,219.392,1.40094,1.1656,1.15685,0.66418,0.54582,0.46419,0.21768,1.95949,2.92228,2.19502,0.0014456,0.0014456,0.0014456
16,258.136,1.39187,1.16807,1.14952,0.45502,0.55172,0.33045,0.1323,2.14911,2.918,2.36432,0.001406,0.001406,0.001406
17,298.683,1.36207,1.13762,1.13816,0.54658,0.51724,0.38141,0.16562,2.13537,2.58064,2.35545,0.0013664,0.0013664,0.0013664
18,316.734,1.3442,1.10856,1.12382,0.71106,0.58621,0.55863,0.25063,1.96021,2.51736,2.22959,0.0013268,0.0013268,0.0013268
19,327.175,1.31438,1.05271,1.09978,0.473,0.68966,0.44682,0.1728,1.97601,2.90267,2.25947,0.0012872,0.0012872,0.0012872
20,337.524,1.30591,1.08405,1.09604,0.473,0.68966,0.44682,0.1728,1.97601,2.90267,2.25947,0.0012476,0.0012476,0.0012476
21,347.924,1.24012,1.03599,1.11765,0.59471,0.68966,0.57045,0.24227,1.92526,2.12777,2.17995,0.001208,0.001208,0.001208
22,358.107,1.27035,1.02542,1.09023,0.56983,0.65517,0.52238,0.21874,1.97861,2.25524,2.22633,0.0011684,0.0011684,0.0011684
23,368.41,1.31002,0.99833,1.06718,0.49146,0.68966,0.44948,0.21425,2.01777,2.4271,2.42785,0.0011288,0.0011288,0.0011288
24,379.038,1.20093,0.96535,1.05892,0.72751,0.64473,0.60747,0.32827,2.02917,2.21685,2.56872,0.0010892,0.0010892,0.0010892
25,389.731,1.25848,0.94472,1.08881,0.72751,0.64473,0.60747,0.32827,2.02917,2.21685,2.56872,0.0010496,0.0010496,0.0010496
26,400.325,1.17725,0.94086,1.05708,0.7495,0.51724,0.57567,0.30802,1.967,2.1134,2.27689,0.00101,0.00101,0.00101
27,410.901,1.22414,0.89383,1.05575,0.78079,0.55172,0.59484,0.30714,1.97364,1.97629,2.14895,0.0009704,0.0009704,0.0009704
28,421.35,1.19146,0.91744,1.06257,0.68883,0.62069,0.63047,0.30382,1.99205,1.95137,2.14268,0.0009308,0.0009308,0.0009308
29,432.084,1.17277,0.87195,1.03665,0.69213,0.6202,0.60661,0.29529,1.88403,2.21901,2.03181,0.0008912,0.0008912,0.0008912
30,443.147,1.18239,0.93733,1.07081,0.61432,0.62069,0.57339,0.26356,1.94093,2.2815,2.07626,0.0008516,0.0008516,0.0008516
31,480.651,1.12973,0.87144,1.03482,0.61432,0.62069,0.57339,0.26356,1.94093,2.2815,2.07626,0.000812,0.000812,0.000812
32,520.637,1.16174,0.87731,1.06403,0.53506,0.68966,0.51761,0.26596,1.83871,2.40045,1.99284,0.0007724,0.0007724,0.0007724
33,558.825,1.14726,0.86714,1.03796,0.57546,0.56112,0.53146,0.28903,1.93705,2.30461,2.08321,0.0007328,0.0007328,0.0007328
34,578.089,1.08914,0.85445,1.00198,0.48782,0.52568,0.50599,0.26107,2.00055,2.31705,2.12703,0.0006932,0.0006932,0.0006932
35,588.586,1.10844,0.81858,1.03317,0.49312,0.37931,0.40875,0.20988,1.98233,2.40759,2.11818,0.0006536,0.0006536,0.0006536
36,599.153,1.08665,0.81791,1.0025,0.49312,0.37931,0.40875,0.20988,1.98233,2.40759,2.11818,0.000614,0.000614,0.000614
37,609.654,1.08339,0.85907,1.03468,0.33823,0.55172,0.35985,0.19068,2.00452,2.48838,2.11208,0.0005744,0.0005744,0.0005744
38,620.199,1.07997,0.81843,1.00622,0.59996,0.34483,0.40843,0.22863,1.97272,2.26475,2.06912,0.0005348,0.0005348,0.0005348
39,630.413,1.05856,0.79169,0.99265,0.45512,0.51724,0.45132,0.24455,1.92227,2.21437,2.07265,0.0004952,0.0004952,0.0004952
40,640.576,1.09528,0.85495,1.04382,0.47734,0.62069,0.48186,0.26146,1.8609,2.21221,2.05082,0.0004556,0.0004556,0.0004556
41,650.315,1.02565,0.79856,1.00208,0.47734,0.62069,0.48186,0.26146,1.8609,2.21221,2.05082,0.000416,0.000416,0.000416
42,660.021,1.04067,0.79355,0.99267,0.59301,0.65324,0.55827,0.28005,1.83866,2.11945,2.01713,0.0003764,0.0003764,0.0003764
43,669.905,1.01685,0.80777,0.99848,0.67936,0.62069,0.58362,0.27905,1.85317,2.10837,2.03862,0.0003368,0.0003368,0.0003368
44,680.409,0.98917,0.76264,1.00611,0.85891,0.51724,0.5921,0.28107,1.90674,2.00237,2.08082,0.0002972,0.0002972,0.0002972
45,690.269,1.0063,0.77537,0.99666,0.82441,0.51724,0.59594,0.29121,1.8972,1.98669,2.05355,0.0002576,0.0002576,0.0002576
46,700.234,0.97979,0.76389,0.96069,0.73712,0.55172,0.58176,0.28514,1.86734,2.00429,2.04491,0.000218,0.000218,0.000218
47,709.89,0.96248,0.79807,0.98901,0.73712,0.55172,0.58176,0.28514,1.86734,2.00429,2.04491,0.0001784,0.0001784,0.0001784
48,719.848,0.97662,0.74542,1.00436,0.85145,0.48276,0.57382,0.27999,1.84592,1.977,2.02827,0.0001388,0.0001388,0.0001388
49,729.901,0.97488,0.7437,0.98984,0.80517,0.48276,0.56749,0.28054,1.84574,1.95981,2.0204,9.92e-05,9.92e-05,9.92e-05
50,739.557,0.9835,0.77103,0.98853,0.79861,0.48276,0.56475,0.28177,1.85292,1.98105,2.03171,5.96e-05,5.96e-05,5.96e-05
